e_num,optimizer,optimal_configuration,ground_state_energy,kinetic_energy,nuclear_potential,heisenberg_potential,pair_potential,pauli_potential,time_taken,converged,message
1,BFGS,[1.0999782  1.19442013 5.80092717 0.90915124 1.00247297 0.7419891 ],-0.455,0.413,-0.909,0.041,0.000,0.000,0.036,True,Optimization terminated successfully.
2,BFGS,"[0.62844116 0.62859321 1.00070382 2.14088878 6.05748853 9.19908113
 1.59126082 1.59085533 1.38546159 1.75613106 3.83193131 6.97352396]",-2.784,2.531,-6.364,0.253,0.796,0.000,0.090,True,Optimization terminated successfully.
3,BFGS,"[0.38567215 0.40397695 1.58604787 1.61992212 2.00599663 0.58522403
 4.57916931 1.41074828 7.79707469 2.60206302 2.47538414 0.64042824
 0.18893158 2.14787205 2.95266062 4.21751286 3.8391392  7.35910551]",-7.307,6.654,-17.096,0.634,2.482,0.019,0.376,True,Optimization terminated successfully.
4,BFGS,"[1.04031178 0.28215235 0.28214841 1.04032899 0.87997618 1.83983124
 2.06925641 1.01686042 1.07897256 0.5801486  3.8195132  4.00142257
 0.97785814 3.55947803 3.55953128 0.97783285 2.31164688 2.89668635
 0.82994617 0.24490644 0.96430616 6.23454773 4.10589916 9.37614095]",-14.935,13.626,-36.044,1.216,6.174,0.092,0.670,True,Optimization terminated successfully.
5,BFGS,"[ 2.22178944e+00  7.70937121e-01  2.15684008e-01  2.18688452e-01
  7.41002259e-01  1.80343813e+00 -2.27908549e-01  1.14745232e+00
  2.80562613e+00  1.75345547e+00  5.79528858e+00  4.26228893e+00
  5.95457799e+00  9.71779627e+00  9.03427828e+00  4.88306606e-01
  1.32953943e+00  4.67050146e+00  4.60152063e+00  1.42946465e+00
 -8.97280387e-05 -2.16711684e-01 -3.81212777e-04  3.35847699e+00
  3.14186571e+00  4.06363229e+00  3.71088538e+00  9.23449608e+00
  6.85842102e+00 -8.09097114e-01]",-25.747,23.519,-61.529,1.923,10.036,0.304,1.061,True,Optimization terminated successfully.
6,BFGS,"[ 1.62794998e+00  5.89668837e-01  1.75879257e-01  1.62794661e+00
  5.89668351e-01  1.75879180e-01  4.04306312e+00  2.57643827e+00
  3.81861599e+00 -5.74608178e-01 -8.91645014e-01  3.65543516e-01
 -8.26882699e-02  6.68230616e+00  6.10752355e+00  3.92279040e-01
  9.33882128e+00  1.00540340e+01 -6.76052937e-01  1.82589339e+00
  5.73560283e+00  6.76060182e-01  1.82589763e+00  5.73560487e+00
 -3.14156044e+00  1.61894681e-05 -2.38592742e-05  3.14157749e+00
  3.14156631e+00  3.14157551e+00  4.03666829e+00  5.38062695e+00
  1.19889328e+00  7.58833408e+00  7.49323000e+00  2.90152214e+00]",-40.143,36.688,-95.950,2.761,15.663,0.694,1.571,True,Optimization terminated successfully.
7,BFGS,"[ 4.81007663e-01  4.84540081e-01  3.39265031e+00  1.24656494e+00
  1.46906578e-01  1.47853712e-01  1.21745623e+00 -2.39858083e-02
 -4.53523795e+00  5.58522154e+00  7.71907876e+00  3.34444443e+00
  1.20296423e+00 -3.06182353e+00 -9.08489071e-01  3.96465491e+00
  7.94137493e-01  8.21966844e-01  9.34610682e-01  1.33943558e+01
  3.66770476e+00  2.28865641e+00  2.27111766e+00  3.03385651e-01
 -9.08099011e-01  6.87753645e+00  6.83108618e+00  9.73404252e-01
  3.22178372e+00 -3.30375559e-05  3.06138304e+00  1.47833587e-05
 -8.02251424e-02  3.14161014e+00  8.02451504e-02  1.29008505e-01
  6.95848809e+00 -3.04073134e+00  3.40398425e+00  9.55392397e+00
 -1.30581455e+00  6.40053446e+00]",-58.100,53.112,-137.421,3.790,21.221,1.199,3.537,True,Optimization terminated successfully.
8,BFGS,"[ 4.08934161e-01  2.80606134e+00  1.02826255e+00  1.26221474e-01
  1.26221461e-01  1.02826153e+00  2.80605832e+00  4.08934049e-01
  8.24414417e-01  2.28029734e+00  2.30604632e+00 -6.53558698e-01
  2.44489624e+00  7.82504498e-01  9.02766859e-01  3.91732744e+00
  3.13391640e+00  3.39405772e+00  6.06315729e+00  1.97323961e+00
  6.45250293e+00  5.53300946e+00  8.24553614e+00  5.30961105e+00
  2.70856762e+00  3.72603599e-01  1.16017863e+00  8.01279447e+00
  8.01279552e+00  1.16017660e+00  3.72603003e-01  2.70857284e+00
  3.14159422e+00  3.14161298e+00 -4.35931808e-06  1.20172852e-05
  1.40626413e-07 -3.02926908e-06  3.14155704e+00  3.14158041e+00
  8.97100487e-01  2.64881014e+00  5.95358890e-01  7.20047081e+00
  4.35262249e+00  8.43311787e+00  6.82016579e+00  1.01106152e+01]",-79.845,73.026,-187.150,5.032,27.459,1.787,2.791,True,Optimization terminated successfully.
9,BFGS,"[ 0.11025225  0.11052525  0.8878692   0.35330423  3.64586297  2.42422045
  2.22783854  0.88952617  0.35577049  2.04802127  1.24326054  4.5064838
  1.8253303   6.69202645  5.0679647   3.9940115  -1.4877198  -1.14054193
 -1.85946492  2.41489226  1.03588302  5.70153331 -3.37383302  8.88443991
 10.34518801 12.02022178 10.53389561  9.18145661  9.15924006  1.41842565
  3.17510294 -0.37892678  0.42321726  0.68864426 -1.29951539  3.10813679
  6.52362332  8.08383932  0.04967023  4.94229288 -1.52602213  1.33585271
 -2.34436358 -1.34025746  3.36546854 -2.39708594  0.62449644  4.28548038
  0.62451231  6.93507305  3.76776764  6.91064482  6.90791001 -2.38963115]",-105.172,96.215,-244.307,6.448,33.962,2.509,7.986,True,Optimization terminated successfully.
10,BFGS,"[ 3.11857165e-01  7.82568017e-01 -1.75761666e+03  2.04199763e+00
  9.81183657e-02  3.11867068e-01  7.82619677e-01 -1.61714183e+03
  2.04225942e+00  9.81177582e-02 -2.67781290e+00  2.03945141e+00
 -8.45642302e+01 -4.71159535e+00 -3.17973309e-01  9.08820153e-01
 -6.96819217e-01  1.38249868e+02  1.83631084e+00  3.90367630e+00
 -4.84510192e+02 -4.90161053e+02  1.92329368e+03 -4.80207269e+02
 -4.87697584e+02 -4.87273818e+02 -4.94248756e+02  2.01539318e+03
 -4.75814449e+02 -4.87280584e+02  3.60795227e+00  1.52184226e+00
 -4.35004538e-04 -5.15627911e-01  1.03250818e+01  3.60795495e+00
  1.52156585e+00 -2.12134451e-03 -5.15612879e-01  1.03251408e+01
 -3.14191398e+00 -8.36495364e+01 -7.34132890e+02  8.99251055e+01
  6.28334344e+00 -8.05101659e+01  3.72694473e-04  1.43717189e+03
 -2.02582241e-03  8.36519140e+01  5.95520807e+01 -6.30928496e+01
  3.02933681e+01 -5.99505413e+01 -3.22262188e+02 -6.30929043e+01
  1.30185730e+02  2.69020038e+02  1.21531405e+02 -5.99506493e+01]",-133.549,122.207,-303.305,8.014,36.187,3.348,34.582,False,Desired error not necessarily achieved due to precision loss.
11,BFGS,"[ 0.08820912  0.08829023  0.69683408  2.03640465  1.99070149  0.2817981
  4.0529742   1.52539777  1.54357106  0.69723886  0.28081398  2.17137343
  0.2279196   1.91476245 -4.1703444   0.57163711  2.85924823 -2.20805632
 -4.35858822 -1.79370624 -5.86469688  1.09219192  2.34074769  3.6222957
 -3.52087111  7.78013531  4.41268715  6.25249635  6.35315546  4.73679864
  3.34826606  2.06726216 -0.72462204 11.49055105 11.47891138  1.92182658
  0.79301303  0.87649189  3.95043009 -0.25392734  1.13265337  1.15722944
 -1.97246474  3.97898914  3.38041103 -6.07803225  3.34767729 -2.78819952
  5.37935935 -2.88226581  6.79412712  4.92523974  1.31421972  2.45683527
  0.18955483  9.26981153  4.47132214 -0.2498924  -4.64702632  6.09220516
 -1.76913195  2.9542968   4.67649255  6.08150429 14.04278908  9.28169715]",-167.674,153.452,-387.041,9.827,51.693,4.395,23.989,True,Optimization terminated successfully.
12,BFGS,"[ 8.02969419e-02  3.51794525e+00  1.76142798e+00  1.76156074e+00
  3.51710750e+00  2.52044742e-01  2.52039397e-01  1.29182173e+00
  6.26134489e-01  6.26155862e-01  1.29077332e+00  8.02943400e-02
 -1.38044452e+00 -1.62811261e+00  1.74727434e+00  4.88098778e+00
  2.32998275e+00  7.43534754e-01  4.57871817e+00  6.45287964e-01
  1.34568808e+00  3.54096721e+00  1.71072292e+00  2.33834793e+00
  1.80405276e+00 -5.83878060e+00  8.77902608e+00 -1.00836761e+01
  1.75689689e+01  6.15469000e+00  4.83191251e+00  2.03579470e+00
  1.07145309e+01  2.77286608e-01  6.75688504e+00  9.13749369e+00
  1.26301613e+01  3.12803450e-01  9.54932274e-01  9.55416185e-01
 -3.12654103e-01  4.51589203e+00  4.51635988e+00  1.44747918e+00
  2.15289266e+00  2.15160068e+00 -1.44838623e+00  1.26305764e+01
  3.05281630e+00  2.13856692e+00 -6.40809020e-01 -8.81560959e-01
 -1.26717559e+01 -9.53450243e-01  3.51036386e-02  1.87269982e+00
  2.66728150e+00  1.95322782e+00 -1.56943686e+00  1.03589977e+01
  1.44894845e-02  2.17173199e+00  6.52501258e+00  3.09584160e+00
  9.90167760e+00  8.60314036e+00  8.99653802e+00  4.07802406e+00
  9.74019246e+00  8.09699519e+00 -6.01172501e+00  1.18135269e+01]",-205.036,187.660,-471.481,11.667,61.408,5.709,35.965,True,Optimization terminated successfully.
13,BFGS,"[  0.89381162   0.07382258   1.48444493   1.60364502   0.56373963
   0.2308609    0.23031968   1.12367936   1.4435782    2.97899645
   0.07431925   0.57037097   2.73093857   1.97635629  -3.89699277
   0.34424454  -1.32068799   1.52718371  -0.64092474   1.42479495
  -0.84989797   2.00383333  -1.95398222   7.9292631    3.29074187
  -2.0778221    2.10889039   5.97037124   7.81557152  12.53496722
   4.28629313   5.86035647   0.51922548   8.84404665   6.10379618
 -14.67711886   9.84123646   9.15826715   7.15032445   2.25544414
  13.74124672   1.29941113   1.01557518   2.84023368   4.95616291
   5.04752707  -1.6458131   -1.35078074  -0.37422855  13.64675834
   2.46207334  -0.40290628  -0.51132209   0.04547195   4.61910763
  -2.5252104    1.87091609  -3.11688752   1.89737213  17.28589668
  -0.85521924   9.5051613    1.17888486   0.57651509  -2.39882148
   1.64079799   5.11871206   5.33793672   5.27737956   6.6822967
  -3.819922     3.11880617  17.85487741  10.72742422  -1.09284686
   6.21071635   8.44192829   0.36101134]",-246.855,225.934,-570.733,13.647,77.023,7.274,51.428,True,Optimization terminated successfully.
14,BFGS,"[ 2.05953857e-01  1.44978486e+00  5.33090184e-01  3.83957985e+00
  2.09561498e+00  1.09460171e+00  7.04439404e-02  2.14102697e-01
  5.31347421e-01  5.28317073e-01  1.16398482e+00  2.84646084e+00
  1.16425825e+00  6.81705193e-02 -6.19236036e-01  7.76338469e+00
  1.82208121e+00  1.42958463e+00  2.76988031e+00 -6.97761992e+00
  3.84477894e+00  1.22541899e+00 -2.21199514e+00  2.34027744e+00
  1.27338073e+00 -2.02263190e+00  7.08090151e+00 -1.78243477e+00
  3.85853128e+00 -4.07311871e+00  4.88467837e+00 -2.34019284e+00
  4.14032393e+00  8.20081960e+00  6.57382119e-01  3.40772593e+00
  5.45235577e+00  6.61225110e+00  6.81914455e+00  9.41883022e+00
  3.30320124e+00  3.42808627e+00  6.18336027e+00  1.18265612e+00
  3.47857971e+00 -3.93909705e-01  6.13855744e-01  1.68515175e+00
  1.43910764e+01  5.29546193e+00  3.52383582e+00  2.64241286e+00
  1.51640695e+00 -5.39782926e-01  1.60901137e+00  1.48829032e+01
  3.13797638e+00 -1.77005251e+00  1.00278367e+00  4.43699208e+00
  1.23199542e+01  6.65838085e+00  1.84457361e-03  4.96011433e+00
  7.30268013e+00  2.32782911e+00  1.81487185e+00 -1.14500073e+01
  2.23339325e+00 -1.74944518e+00  4.31953901e+00  2.81290694e+00
  4.04740883e+00  1.44524289e+00  2.72490087e+00  3.41357455e+00
  1.71691463e+00  8.68550615e+00  8.86548743e-01  8.53510646e+00
  8.77177318e+00  7.39199565e-01  5.56258125e+00  5.55951564e+00]",-293.040,268.165,-678.326,15.637,92.245,9.239,51.772,True,Optimization terminated successfully.
